id,type,primary_title,original_title,primary_image,rating,start_year
tt0948470,movie,The Amazing Spider-Man,The Amazing Spider-Man,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_.jpg', 'width': 1381, 'height': 2048}","{'aggregate_rating': 6.9, 'votes_count': 737226}",2012
tt1170358,movie,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_.jpg', 'width': 1384, 'height': 2048}","{'aggregate_rating': 7.8, 'votes_count': 734506}",2013
tt0360717,movie,King Kong,King Kong,"{'url': 'https://m.media-amazon.com/images/M/MV5BMWY0NWE0ZjUtNjRlOS00ZDViLTgxNTQtMGMwN2FhNDY1YTg2XkEyXkFqcGc@._V1_.jpg', 'width': 2689, 'height': 3981}","{'aggregate_rating': 7.2, 'votes_count': 460884}",2005
tt3498820,movie,Captain America: Civil War,Captain America: Civil War,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 7.8, 'votes_count': 894078}",2016
tt31036941,movie,Jurassic World: Rebirth,Jurassic World: Rebirth,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDE1N2EzMjAtMDY1My00YWE5LWEyYjYtYmE3YjZjNzQwNDhmXkEyXkFqcGc@._V1_.jpg', 'width': 1257, 'height': 1800}","{'aggregate_rating': 6.3, 'votes_count': 22669}",2025
tt0316654,movie,Spider-Man 2,Spider-Man 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BNGQ0YTQyYTgtNWI2YS00NTE2LWJmNDItNTFlMTUwNmFlZTM0XkEyXkFqcGc@._V1_.jpg', 'width': 1021, 'height': 1400}","{'aggregate_rating': 7.5, 'votes_count': 751277}",2004
tt1014759,movie,Alice in Wonderland,Alice in Wonderland,"{'url': 'https://m.media-amazon.com/images/M/MV5BYjgxMTQ3NjMtOTI1Yy00Yzg4LWJlNWQtMjFkNjVlYjU0OWIyXkEyXkFqcGc@._V1_.jpg', 'width': 2029, 'height': 3000}","{'aggregate_rating': 6.4, 'votes_count': 457080}",2010
tt1453405,movie,Monsters University,Monsters University,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_.jpg', 'width': 1085, 'height': 1608}","{'aggregate_rating': 7.2, 'votes_count': 410956}",2013
tt2109248,movie,Transformers: Age of Extinction,Transformers: Age of Extinction,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1_.jpg', 'width': 1311, 'height': 2048}","{'aggregate_rating': 5.6, 'votes_count': 341966}",2014
tt1872181,movie,The Amazing Spider-Man 2,The Amazing Spider-Man 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BOTA5NDYxNTg0OV5BMl5BanBnXkFtZTgwODE5NzU1MTE@._V1_.jpg', 'width': 2025, 'height': 3000}","{'aggregate_rating': 6.6, 'votes_count': 566820}",2014
tt1216475,movie,Cars 2,Cars 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_.jpg', 'width': 1086, 'height': 1609}","{'aggregate_rating': 6.2, 'votes_count': 239133}",2011
tt0435761,movie,Toy Story 3,Toy Story 3,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg', 'width': 1448, 'height': 2048}","{'aggregate_rating': 8.3, 'votes_count': 936798}",2010
tt2820852,movie,Furious 7,Fast & Furious 7,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_.jpg', 'width': 1579, 'height': 2500}","{'aggregate_rating': 7.1, 'votes_count': 428916}",2015
tt1877832,movie,X-Men: Days of Future Past,X-Men: Days of Future Past,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzNiYWE4NjMtMTU4OS00NmM4LWE4ZjAtYmE5OTA5NjkzODExXkEyXkFqcGc@._V1_.jpg', 'width': 1013, 'height': 1500}","{'aggregate_rating': 7.9, 'votes_count': 772710}",2014
tt1351685,movie,Jack the Giant Slayer,Jack the Giant Slayer,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjE1NDMxMjI0OV5BMl5BanBnXkFtZTcwMjQyMDExOQ@@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 6.3, 'votes_count': 152077}",2013
tt0473075,movie,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTMwNDg0NzcyMV5BMl5BanBnXkFtZTcwNjg4MjQyMw@@._V1_.jpg', 'width': 1385, 'height': 2048}","{'aggregate_rating': 6.5, 'votes_count': 312418}",2010
tt1399103,movie,Transformers: Dark of the Moon,Transformers: Dark of the Moon,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_.jpg', 'width': 1369, 'height': 2048}","{'aggregate_rating': 6.2, 'votes_count': 445787}",2011
tt1979388,movie,The Good Dinosaur,The Good Dinosaur,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_.jpg', 'width': 1080, 'height': 1600}","{'aggregate_rating': 6.7, 'votes_count': 134697}",2015
tt2660888,movie,Star Trek Beyond,Star Trek Beyond,"{'url': 'https://m.media-amazon.com/images/M/MV5BN2FhNDI1YTYtNWI0OC00ZjYxLWJlYWEtN2ZiZjRmZDY1MWJjXkEyXkFqcGc@._V1_.jpg', 'width': 1688, 'height': 2500}","{'aggregate_rating': 7, 'votes_count': 265457}",2016
tt0293564,movie,Rush Hour 3,Rush Hour 3,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTA0Nzg5NjQ0MDBeQTJeQWpwZ15BbWU3MDE4Mzg5NDE@._V1_.jpg', 'width': 510, 'height': 755}","{'aggregate_rating': 6.2, 'votes_count': 192552}",2007
tt1067106,movie,A Christmas Carol,A Christmas Carol,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_.jpg', 'width': 1386, 'height': 2048}","{'aggregate_rating': 6.8, 'votes_count': 136031}",2009
tt0918940,movie,The Legend of Tarzan,The Legend of Tarzan,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzY3OTI0OTcyMF5BMl5BanBnXkFtZTgwNjkxNTAwOTE@._V1_.jpg', 'width': 1012, 'height': 1500}","{'aggregate_rating': 6.2, 'votes_count': 194071}",2016
tt3385516,movie,X-Men: Apocalypse,X-Men: Apocalypse,"{'url': 'https://m.media-amazon.com/images/M/MV5BNjVhNWY3NjItNmZjOS00NTU3LWFiZTctNzdjNGM5Y2Y0MDUwXkEyXkFqcGc@._V1_.jpg', 'width': 700, 'height': 1037}","{'aggregate_rating': 6.8, 'votes_count': 481093}",2016
tt7131622,movie,Once Upon a Time... in Hollywood,Once Upon a Time in... Hollywood,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzMzNmViNjYtN2ViNi00NDM3LWFlMmItNDYyMGIzY2EzZjE2XkEyXkFqcGc@._V1_.jpg', 'width': 6072, 'height': 9000}","{'aggregate_rating': 7.6, 'votes_count': 915461}",2019
tt0371746,movie,Iron Man,Iron Man,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 7.9, 'votes_count': 1180561}",2008
tt0058855,tvSeries,The Wild Wild West,The Wild Wild West,"{'url': 'https://m.media-amazon.com/images/M/MV5BOTAxMTE0MTQ4MF5BMl5BanBnXkFtZTcwMzU1MzE1MQ@@._V1_.jpg', 'width': 350, 'height': 500}","{'aggregate_rating': 8.1, 'votes_count': 7028}",1965,1969
tt1386697,movie,Suicide Squad,Suicide Squad,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 5.9, 'votes_count': 743426}",2016
tt1631867,movie,Edge of Tomorrow,Edge of Tomorrow,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 7.9, 'votes_count': 777971}",2014
tt1046173,movie,G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQzMTU1NzQwNl5BMl5BanBnXkFtZTcwNDg4NzMzMw@@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 5.7, 'votes_count': 218536}",2009
tt3040964,movie,The Jungle Book,The Jungle Book,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_.jpg', 'width': 864, 'height': 1280}","{'aggregate_rating': 7.3, 'votes_count': 300263}",2016
tt1735898,movie,Snow White and the Huntsman,Snow White and the Huntsman,"{'url': 'https://m.media-amazon.com/images/M/MV5BY2JjYWUyZjUtMDg3OS00MGIyLTgyN2QtYjIyY2VlYzViYThlXkEyXkFqcGc@._V1_.jpg', 'width': 725, 'height': 1148}","{'aggregate_rating': 6.1, 'votes_count': 310749}",2012
tt2103281,movie,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,"{'url': 'https://m.media-amazon.com/images/M/MV5BNWNjYzQ4ZGItZTg1My00NTM2LTg1NDUtYThjOTQwMTYyNjU1XkEyXkFqcGc@._V1_.jpg', 'width': 2025, 'height': 3000}","{'aggregate_rating': 7.6, 'votes_count': 501585}",2014
tt1335975,movie,47 Ronin,47 Ronin,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_.jpg', 'width': 1293, 'height': 2048}","{'aggregate_rating': 6.2, 'votes_count': 176091}",2013
tt0892791,movie,Shrek Forever After,Shrek Forever After,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_.jpg', 'width': 400, 'height': 593}","{'aggregate_rating': 6.3, 'votes_count': 236612}",2010
tt0338348,movie,The Polar Express,The Polar Express,"{'url': 'https://m.mett26743210,movie,How to Train Your Dragon,How to Train Your Dragon,"{'url': 'https://m.media-amazon.com/images/M/MV5BODA5Y2M0NjctNWQzMy00ODRhLWE0MzUtYmE1YTAzZjYyYmQyXkEyXkFqcGc@._V1_.jpg', 'width': 3158, 'height': 5000}","{'aggregate_rating': 8.1, dia-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_.jpg', 'width': 1386, 'height': 2048}","{'aggregate_rating': 6.6, 'votes_count': 258288}",2004
'votes_count': 46367}",2025
tt2015381,movie,Guardians of the Galaxy,Guardians of the Galaxy,"{'url': 'https://m.media-amazon.com/images/M/MV5BM2ZmNjQ2MzAtNDlhNi00MmQyLWJhZDMtNmJiMjFlOWY4MzcxXkEyXkFqcGc@._V1_.jpg', 'width': 1012, 'height': 1500}","{'aggregate_rating': 8, 'votes_count': 1322920}",2014
tt1375666,movie,Inception,Inception,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg', 'width': 700, 'height': 1037}","{'aggregate_rating': 8.8, 'votes_count': 2700952}",2010
tt0903624,movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 7.8, 'votes_count': 905861}",2012
tt0421715,movie,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,"{'url': 'https://m.media-amazon.com/images/M/MV5BYjIyNDExOWItM2Y4ZC00NmY3LWFlN2ItYTJlZDQ1NTJlZTUwXkEyXkFqcGc@._V1_.jpg', 'width': 1280, 'height': 1896}","{'aggregate_rating': 7.8, 'votes_count': 724860}",2008
tt1951266,movie,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BNjQzNDI2NTU1Ml5BMl5BanBnXkFtZTgwNTAyMDQ5NjE@._V1_.jpg', 'width': 1347, 'height': 2048}","{'aggregate_rating': 6.6, 'votes_count': 396796}",2015
tt0409182,movie,Poseidon,Poseidon,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTIwOTMwODM2Nl5BMl5BanBnXkFtZTYwMDY5NjU3._V1_.jpg', 'width': 450, 'height': 667}","{'aggregate_rating': 5.7, 'votes_count': 113424}",2006
tt0413267,movie,Shrek the Third,Shrek the Third,"{'url': 'https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 6.1, 'votes_count': 349220}",2007
tt1340138,movie,Terminator Genisys,Terminator Genisys,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjM1NTc0NzE4OF5BMl5BanBnXkFtZTgwNDkyNjQ1NTE@._V1_.jpg', 'width': 640, 'height': 999}","{'aggregate_rating': 6.3, 'votes_count': 301298}",2015
tt0213149,movie,Pearl Harbor,Pearl Harbor,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQ3MDc0MDc1NF5BMl5BanBnXkFtZTYwODI1ODY2._V1_.jpg', 'width': 450, 'height': 664}","{'aggregate_rating': 6.3, 'votes_count': 362290}",2001
tt0346491,movie,Alexander,Alexander,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTA1NDQ3OTY2NDVeQTJeQWpwZ15BbWU3MDI5MDc0MzM@._V1_.jpg', 'width': 1387, 'height': 2048}","{'aggregate_rating': 5.6, 'votes_count': 180708}",2004
tt0330373,movie,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_.jpg', 'width': 300, 'height': 443}","{'aggregate_rating': 7.7, 'votes_count': 721597}",2005
tt0480249,movie,I Am Legend,I Am Legend,"{'url': 'https://m.media-amazon.com/images/M/MV5BMGE1OWZkZmItNmVhMC00YzAxLTgxOTctNjg3NWExM2RmOWJkXkEyXkFqcGc@._V1_.jpg', 'width': 1944, 'height': 2880}","{'aggregate_rating': 7.2, 'votes_count': 853444}",2007
tt0382932,movie,Ratatouille,Ratatouille,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 8.1, 'votes_count': 893345}",2007
tt0479952,movie,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjExMDA4NDcwMl5BMl5BanBnXkFtZTcwODAxNTQ3MQ@@._V1_.jpg', 'width': 550, 'height': 815}","{'aggregate_rating': 6.6, 'votes_count': 261267}",2008
tt0458525,movie,X-Men Origins: Wolverine,X-Men Origins: Wolverine,"{'url': 'https://m.media-amazon.com/images/M/MV5BZjQwOGEzNjUtNDgwYS00NzUzLWJhZjAtNmFlNzY2YTQyOTllXkEyXkFqcGc@._V1_.jpg', 'width': 1015, 'height': 1500}","{'aggregate_rating': 6.5, 'votes_count': 556574}",2009
tt2294629,movie,Frozen,Frozen,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 7.4, 'votes_count': 691775}",2013
tt1981115,movie,Thor: The Dark World,Thor: The Dark World,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_.jpg', 'width': 770, 'height': 1100}","{'aggregate_rating': 6.7, 'votes_count': 755278}",2013
tt23872640,movie,Dirty Angels,Dirty Angels,"{'url': 'https://m.media-amazon.com/images/M/MV5BNGZlN2RmM2MtODgyYS00MGJiLWE4OGEtNzJiMjlhMzVjZDc0XkEyXkFqcGc@._V1_.jpg', 'width': 1365, 'height': 2048}","{'aggregate_rating': 4.4, 'votes_count': 4221}",2024
tt0397892,movie,Bolt,Bolt,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTY3NGVkMmItYWNjMy00MmE0LTlkZmUtNGIxZGJmZTA1YWI0XkEyXkFqcGc@._V1_.jpg', 'width': 4500, 'height': 6387}","{'aggregate_rating': 6.8, 'votes_count': 240018}",2008
tt1646987,movie,Wrath of the Titans,Wrath of the Titans,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjMyMzk1Nzg3OF5BMl5BanBnXkFtZTcwOTQ2NjcxNw@@._V1_.jpg', 'width': 610, 'height': 904}","{'aggregate_rating': 5.7, 'votes_count': 200197}",2012
tt2381249,movie,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,"{'url': 'https://m.media-amazon.com/images/M/MV5BZjUwZjg2ZjAtY2RhZi00YmZjLTlhNGQtOWQwNDk1MjhhM2NhXkEyXkFqcGc@._V1_.jpg', 'width': 1335, 'height': 2048}","{'aggregate_rating': 7.4, 'votes_count': 433199}",2015
tt0389790,movie,Bee Movie,Bee Movie,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjE1MDYxOTA4MF5BMl5BanBnXkFtZTcwMDE0MDUzMw@@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 6.1, 'votes_count': 190057}",2007
tt0417299,tvSeries,Avatar: The Last Airbender,Avatar: The Last Airbender,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDMwMThjYWYtY2Q2OS00OGM2LTlkODQtNDJlZTZmMjAyYmFhXkEyXkFqcGc@._V1_.jpg', 'width': 679, 'height': 1000}","{'aggregate_rating': 9.3, 'votes_count': 410012}",2005,2008
tt2334879,movie,White House Down,White House Down,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTZkMmRiY2EtOTljZS00MjJjLWFiNDQtNjEwYWE0NWNkYjI4XkEyXkFqcGc@._V1_.jpg', 'width': 773, 'height': 1146}","{'aggregate_rating': 6.3, 'votes_count': 244414}",2013
tt0424095,movie,Flushed Away,Flushed Away,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTI1MzE1MDk2N15BMl5BanBnXkFtZTYwMjEwMzI3._V1_.jpg', 'width': 450, 'height': 666}","{'aggregate_rating': 6.6, 'votes_count': 145240}",2006
tt0864835,movie,Mr. Peabody & Sherman,Mr. Peabody & Sherman,"{'url': 'https://m.media-amazon.com/images/M/MV5BZWMyODZlZTktNWE0Ny00YzUzLWFkOTQtZjFjYjA5ZWMyZmU0XkEyXkFqcGc@._V1_.jpg', 'width': 2000, 'height': 3000}","{'aggregate_rating': 6.7, 'votes_count': 81547}",2014
tt1277953,movie,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,"{'url': 'https://m.media-amazon.com/images/M/MV5BYTM5OWRiZTAtOTNkMS00NzNhLTkwYmYtMWI1MzkyMjE3MWE1XkEyXkFqcGc@._V1_.jpg', 'width': 800, 'height': 1185}","{'aggregate_rating': 6.8, 'votes_count': 209236}",2012
tt0087332,movie,Ghostbusters,Ghostbusters,"{'url': 'https://m.media-amazon.com/images/M/MV5BMGI0Yjg2ODAtNDYzNi00Njc2LTlkMmMtMmRmYWI5MDE4ZGRkXkEyXkFqcGc@._V1_.jpg', 'width': 1080, 'height': 1600}","{'aggregate_rating': 7.8, 'votes_count': 472585}",1984
tt0120912,movie,Men in Black II,Men in Black II,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_.jpg', 'width': 600, 'height': 890}","{'aggregate_rating': 6.2, 'votes_count': 420575}",2002
tt2267968,movie,Kung Fu Panda 3,Kung Fu Panda 3,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_.jpg', 'width': 660, 'height': 978}","{'aggregate_rating': 7.1, 'votes_count': 206308}",2016
tt1446192,movie,Rise of the Guardians,Rise of the Guardians,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTkzMjgwMDg1M15BMl5BanBnXkFtZTcwMTgzNTI1OA@@._V1_.jpg', 'width': 1287, 'height': 2000}","{'aggregate_rating': 7.2, 'votes_count': 202653}",2012
tt0325710,movie,The Last Samurai,The Last Samurai,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzkyNzQ1Mzc0NV5BMl5BanBnXkFtZTcwODg3MzUzMw@@._V1_.jpg', 'width': 1383, 'height': 2048}","{'aggregate_rating': 7.8, 'votes_count': 491458}",2003
tt0060028,tvSeries,Star Trek,Star Trek,"{'url': 'https://m.media-amazon.com/images/M/MV5BMmIyYjI0YzUtOWRiZS00NDJhLThiZTktNDkyYzg4Yjg5YmJmXkEyXkFqcGc@._V1_.jpg', 'width': 2480, 'height': 3508}","{'aggregate_rating': 8.4, 'votes_count': 97436}",1966,1969
tt1646971,movie,How to Train Your Dragon 2,How to Train Your Dragon 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 7.8, 'votes_count': 386330}",2014
tt0382992,movie,Stealth,Stealth,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTZhMWI0M2YtZjllMy00OGQ2LWE4YzYtY2VhOTMwOGQ4ZjI5XkEyXkFqcGc@._V1_.jpg', 'width': 1010, 'height': 1500}","{'aggregate_rating': 5.1, 'votes_count': 57590}",2005
tt0122151,movie,Lethal Weapon 4,Lethal Weapon 4,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDU4MDIyMzEtZjEwZi00NmFjLTljMzQtNDgzNDE5ZDhlMTZmXkEyXkFqcGc@._V1_.jpg', 'width': 1521, 'height': 2260}","{'aggregate_rating': 6.6, 'votes_count': 177212}",1998
tt1583421,movie,G.I. Joe: Retaliation,G.I. Joe: Retaliation,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzk5ODM0OTQ0N15BMl5BanBnXkFtZTcwODg2ODE4OA@@._V1_.jpg', 'width': 1298, 'height': 2000}","{'aggregate_rating': 5.7, 'votes_count': 190495}",2013
tt0173840,movie,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,"{'url': 'https://m.media-amazon.com/images/M/MV5BZWM1MDdjMjMtNjJmYy00ZjY5LTllYmItMTU5N2RmMGI5NTM1XkEyXkFqcGc@._V1_.jpg', 'width': 1608, 'height': 2376}","{'aggregate_rating': 6.4, 'votes_count': 85184}",2001
tt0143145,movie,The World Is Not Enough,The World Is Not Enough,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDlmNTA0YmMtODJmMi00NTZhLTk4MzUtY2FiYjNhMmY4OTI1XkEyXkFqcGc@._V1_.jpg', 'width': 1524, 'height': 2260}","{'aggregate_rating': 6.4, 'votes_count': 215515}",1999
tt1673434,movie,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_.jpg', 'width': 1382, 'height': 2048}","{'aggregate_rating': 5.6, 'votes_count': 273696}",2012
